Index,Kanji,Keyword,English,Origin,SubOrigin,Mnemonic1,Mnemonic2,Compo,Strokes,Radical,Onyomi,Kunyomi,Ex1Kanji,Ex1Kana,Ex1English,Ex2Kanji,Ex2Kana,Ex2English,Ex3Kanji,Ex3Kana,Ex3English,Ex4Kanji,Ex4Kana,Ex4English
1,日,Day,"Sun, Day, Japan","This kanji is intended to be a pictograph of the sun. Recalling what we said in the previous frame about round forms, it is easy to detect the circle and the big smile that characterize our simplest drawings of the sun - like those yellow badges with the words, ""Have a nice day!""","Used as a primitive, this kanji can mean sun or day or a tongue wagging in the mouth. This latter meaning, incidentally, derives from an old character outside the standard list meaning something like ""sayeth"" and written almost exactly the same, except that the stroke in the middle does not touch the right side (Frame 620).","Open the window, new day.",Picture two halves of a 24-hr period: Day & Night.,日: day; sun,4,日,"ニチ, ジツ","ひ, -び, -か",日にち,ひにち,Date; number of days,日,ひ,"Sun, sunshine; day, date",日ソ,にっソ,"Japan and the soviet union, japanese-soviet",日本,にほん,Japan
2,一,One,One,"In Chinese characters, the number one is laid on its side, unlike the Roman numeral I which stands upright. As you would expect, it is written from left to right.","As a primitive element, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of floor or ceiling, depending on its position: if it stands above another primitive, it means ceiling; if below, floor.","One down, 2041 to go. ;).","To learn this one kanji, I recommend (#2000) this story : Bambi is in a cave, eating a side-dish of salad when trying to learn the kanjis. As he succeed to learn the kanji for ""one"", you get jealous and decide to shoot him with a slingshot. At this moment you hear the police coming, so you hurriedly burn all the proofs into a fire (so you remove the key-words Bambi, slingshot and fire from recommend). So that when the police arrives, the only remaining clue is a single horizontal bar.","一: one; ceiling, floor (RTK)",1,一,"イチ, イツ","ひと-, ひと.つ",一日 (regular reading),いちにち,One day,一日 (irregular reading),ついたち,1st of the month,一,いち,One,一つ,ひとつ,One thing
3,二,Two,Two,"Like the Roman numeral II, which reduplicates the numeral I, the kanji for two is a simple reduplication of the horizontal stroke that means one. The order of writing goes from above to below, with the first stroke slightly shorter.",,Two lines.,"Roman numeral II, written on its side.",二: two,2,二,ニ,"ふた, ふた.つ",二日,ふつか,Two days; 2nd (of the month),二メートル,にメートル,Two meters,一つ二つ,ひとつふたつ,One or two,二,に,Two
4,三,Three,Three,"And like the Roman numeral III, which triples the numeral I, the kanji for three simply triples the single horizontal stroke. In writing it, think of ""1 + 2 = 3"" (一 + 二&nbsp;= 三) in order to keep the middle stroke shorter.",,One + two = three.,"THREE measurements define the female shape: BUST, WAIST, and HIPS. Waist is the smallest, and for most women the HIPS are wider than the chest.",三: three,3,一,サン,"み, み.つ, みっ.つ",二三日,にさんにち,Two or three days,三,さん,Three,三時,さんじ,Three o'clock,三月,さんがつ,March
5,十,Ten,Ten,Turn this character 45 degrees either way and you have the x used for the Roman numeral ten.,"As a primitive, this character sometimes keeps its meaning of ten and sometimes signifies needle, this latter derived from the kanji for needle (Frame 292). Since the primitive is used in the kanji itself, there is no need to worry about confusing the two. In fact, we shall be following this procedure regularly.","Two needles crossing marks the spot, or you can use the Roman character for ten (rotated 45 degrees).",I scared away ten vampires with a single cross!,十: ten; cross; needle (RTK),2,十,"ジュウ, ジッ-","とお, と",二十,にじゅう,Twenty,十日,とおか,Ten days; 10th (of the month),十,じゅう,Ten,十時,じゅうじ,Ten o'clock
6,四,Four,Four,"This character is composed of two primitive elements, mouth and human legs, both of which we will meet in the coming lessons. Assuming that you already knew how to write this kanji, we will pass over the ""story"" connected with it until later. Note how the second stroke is written left-to-right and then top-to-bottom. This is consistent with what we have already seen in the first three numbers and leads us to a general principle that will be helpful when we come to more complicated kanji later on: write north-to-south, west-to-east, northwest-to-southeast.",,FOUR year-olds often put their FOOT (human legs) in their MOUTH - but they are too young to realize.,"I imagine a giant devouring a human in four bites. First the giant bites off the person´s head, then he bites the torso, then from the waist to the knees, and finally the giant plucks up the remaining portion of the human legs into his mouth. See the fourth bite falling in there?",囗: box; pent in (RTK)　儿: human legs,5,囗,シ,"よ, よ.つ, よっ.つ, よん",十四,じゅうよん,Fourteen,四日,よっか,Four days; 4th (of the month),四ミリ,よんミリ,Four millimeters,四,よん,Four
7,五,Five,Five,"As with four, we shall postpone learning the primitive elements that make up this character. Note how the general principle we just learned in the preceding frame applies to the writing of the character for five.",,三 + two vertical lines = 5.,"This Kanji looks like a ""3"" Kanji with two added vertical lines. 3+2= 5.",五: five,4,二,ゴ,"いつ, いつ.つ",五十五,ごじゅうご,Fifty-five,五日,いつか,Five days; 5th (of the month),五,ご,Five,五時,ごじ,Five o'clock
8,六,Six,Six,"The primitives here are top hat and animal legs. Once again, we glide over them until later.",,"Indicating 6 parts of the human body: head, body, 2 arms, 2 legs.",Six-Six-SIX ((666)) Mark of the Beast!! Imagine that dapper old beastly fellow summoning his top hat to himself. See it scamper over to him on a little pair of beastly legs.,六: six,4,八,ロク,"む, む.つ, むっ.つ, むい",十六,じゅうろく,Sixteen,六日,むいか,Six days; 6th (of the month),六,ろく,Six,六時,ろくじ,Six o'clock
9,七,Seven,Seven,"Note that the first stroke ""cuts"" through the second. This distinguishes seven from the character for spoon&nbsp;(Frame 476), in which the horizontal stroke stops short.","As a primitive, this form takes on the meaning of diced, i.e., ""cut"" into little pieces, consistent both with the way the character is written and with its association with the kanji for cut to be learned in a later lesson (Frame 89).","This kanji is our good old seven, turned upside down.",I wrote it upside down so I crossed it out.,七: seven,2,一,シチ,"なな, なな.つ, なの",七五三,しちごさん,"The lucky numbers (7-5-3); festival for children of three, five, and seven",七十五,ななじゅうご,Seventy-five,七,なな,Seven,七時,しちじ,Seven o'clock
10,八,Eight,Eight,"Just as the Arabic numeral ""8"" is composed of a small circle followed by a larger one, so the kanji for eight is composed of a short line followed by a longer line, slanting towards it but not touching it. And just as the ""lazy 8"" is the mathematical symbol for ""infinity,"" so the expanse opened up below these two strokes is associated by the Japanese with the sense of an infinite expanse or something ""all-encompassing.""",,"Hachi (eight) begins with the sound of the katakana ""ha"", and it´s approximately the same character.",The valcano hasn´t erupted for 8 years.,八: eight; go in (RTK),2,八,ハチ,"や, や.つ, やっ.つ, よう",十八日,じゅうはちにち,Eighteen days; 18th (of the month),八日,ようか,Eight days; 8th (of the month),八,はち,Eight,八時,はちじ,Eight o'clock
